Date,total_trips,month,year
17-Jan,726676,Jan,2017
17-Feb,791648,Feb,2017
17-Mar,727668,Mar,2017
17-Apr,1315387,Apr,2017
17-May,1523228,May,2017
17-Jun,1731507,Jun,2017
17-Jul,1735677,Jul,2017
17-Aug,1816390,Aug,2017
17-Sep,1879411,Sep,2017
17-Oct,1897533,Oct,2017
17-Nov,1330612,Nov,2017
17-Dec,889958,Dec,2017
18-Jan,718975,Jan,2018
18-Feb,843097,Feb,2018
18-Mar,975994,Mar,2018
18-Apr,1307490,Apr,2018
18-May,1824665,May,2018
18-Jun,1952869,Jun,2018
18-Jul,1913557,Jul,2018
18-Aug,1977614,Aug,2018
18-Sep,1878131,Sep,2018
18-Oct,1895417,Oct,2018
18-Nov,1276327,Nov,2018
18-Dec,1029782,Dec,2018
19-Jan,978907,Jan,2019
19-Feb,956381,Feb,2019
19-Mar,1328181,Mar,2019
19-Apr,1766353,Apr,2019
19-May,1924708,May,2019
19-Jun,2162330,Jun,2019
19-Jul,2223080,Jul,2019
19-Aug,2394020,Aug,2019
19-Sep,2497330,Sep,2019
19-Oct,2132770,Oct,2019
19-Nov,1508710,Nov,2019
19-Dec,976820,Dec,2019
