tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,trip_len_hrs,trip_year,month,quarter,season,sex,age
609,2016-07-01 00:00:31,2016-07-01 00:10:40,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,212.0,W 16 St & The High Line,40.74334935,-74.00681753,15514,Customer,,0,0.16916666666666666,2016,7,Q3,summer,na,na
672,2016-07-01 00:00:45,2016-07-01 00:11:57,459.0,W 20 St & 11 Ave,40.746745,-74.007756,347.0,Greenwich St & W Houston St,40.728846,-74.00859100000002,15444,Subscriber,1991.0,1,0.18666666666666668,2016,7,Q3,summer,male,26.0
472,2016-07-01 00:00:55,2016-07-01 00:08:48,319.0,Fulton St & Broadway,40.711066,-74.009447,263.0,Elizabeth St & Hester St,40.71759081805981,-73.99622440338135,15666,Subscriber,1986.0,2,0.13111111111111112,2016,7,Q3,summer,female,31.0
659,2016-07-01 00:02:13,2016-07-01 00:13:13,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,519.0,Pershing Square North,40.751873,-73.97770600000003,25283,Subscriber,1970.0,1,0.18305555555555555,2016,7,Q3,summer,male,47.0
275,2016-07-01 00:02:47,2016-07-01 00:07:22,511.0,E 14 St & Avenue B,40.72938685,-73.97772429,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,25912,Subscriber,1984.0,1,0.0763888888888889,2016,7,Q3,summer,male,32.0
247,2016-07-01 00:04:30,2016-07-01 00:08:37,3135.0,E 75 St & 3 Ave,40.77112927,-73.95772297,3231.0,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,20871,Subscriber,1989.0,1,0.06861111111111111,2016,7,Q3,summer,male,27.0
1816,2016-07-01 00:05:26,2016-07-01 00:35:43,3074.0,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,439.0,E 4 St & 2 Ave,40.7262807,-73.98978041,25251,Subscriber,1993.0,1,0.5044444444444445,2016,7,Q3,summer,male,23.0
693,2016-07-01 00:06:21,2016-07-01 00:17:54,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,518.0,E 39 St & 2 Ave,40.74780373,-73.97344190000003,23602,Subscriber,1986.0,1,0.1925,2016,7,Q3,summer,male,30.0
947,2016-07-01 00:07:32,2016-07-01 00:23:20,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,153.0,E 40 St & 5 Ave,40.752062306999996,-73.9816324043,25728,Customer,,0,0.26305555555555554,2016,7,Q3,summer,na,na
244,2016-07-01 00:08:41,2016-07-01 00:12:45,3224.0,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,383.0,Greenwich Ave & Charles St,40.735238,-74.000271,19202,Subscriber,1986.0,1,0.06777777777777778,2016,7,Q3,summer,male,31.0
522,2016-07-01 00:10:30,2016-07-01 00:19:13,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,393.0,E 5 St & Avenue C,40.72299208,-73.97995466,20254,Subscriber,1975.0,1,0.145,2016,7,Q3,summer,male,42.0
290,2016-07-01 00:10:39,2016-07-01 00:15:29,3134.0,3 Ave & E 62 St,40.76312584,-73.96526895,3141.0,1 Ave & E 68 St,40.76500525,-73.95818491,22224,Subscriber,1990.0,1,0.08055555555555556,2016,7,Q3,summer,male,26.0
578,2016-07-01 00:13:57,2016-07-01 00:23:36,324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,120.0,Lexington Ave & Classon Ave,40.68676793,-73.95928168,25481,Subscriber,1990.0,1,0.16055555555555556,2016,7,Q3,summer,male,26.0
528,2016-07-01 00:14:13,2016-07-01 00:23:01,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,15405,Subscriber,1993.0,2,0.14666666666666667,2016,7,Q3,summer,female,24.0
1292,2016-07-01 00:14:54,2016-07-01 00:36:27,477.0,W 41 St & 8 Ave,40.75640548,-73.9900262,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,20713,Customer,,0,0.35888888888888887,2016,7,Q3,summer,na,na
3551,2016-07-01 00:15:24,2016-07-01 01:14:35,457.0,Broadway & W 58 St,40.76695317,-73.98169333,3222.0,Hanson Pl & St Felix St,40.68515959989177,-73.97711366415024,19396,Subscriber,1983.0,1,0.9863888888888889,2016,7,Q3,summer,male,33.0
2419,2016-07-01 00:16:16,2016-07-01 00:56:36,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,517.0,Pershing Square South,40.751581,-73.97791,21483,Customer,,0,0.6719444444444445,2016,7,Q3,summer,na,na
434,2016-07-01 00:17:29,2016-07-01 00:24:44,300.0,Shevchenko Pl & E 7 St,40.728145,-73.990214,2012.0,E 27 St & 1 Ave,40.739445,-73.97680600000002,23830,Subscriber,1966.0,1,0.12055555555555555,2016,7,Q3,summer,male,50.0
32936,2016-07-01 00:20:56,2016-07-01 09:29:52,3073.0,Division Ave & Hooper St,40.70691254,-73.95441667,3065.0,Union Ave & Wallabout St,40.70029511,-73.95032283,22913,Subscriber,1992.0,2,9.148888888888889,2016,7,Q3,summer,female,25.0
