"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
320,"2019-01-01 00:01:47.4010","2019-01-01 00:07:07.5810",3160,"Central Park West & W 76 St",40.77896784,-73.97374737,3283,"W 89 St & Columbus Ave",40.7882213,-73.97041561,15839,"Subscriber",1971,1
316,"2019-01-01 00:04:43.7360","2019-01-01 00:10:00.6080",519,"Pershing Square North",40.751873,-73.977706,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,32723,"Subscriber",1964,1
591,"2019-01-01 00:06:03.9970","2019-01-01 00:15:55.4380",3171,"Amsterdam Ave & W 82 St",40.78524672,-73.97667321,3154,"E 77 St & 3 Ave",40.77314236,-73.95856158,27451,"Subscriber",1987,1
2719,"2019-01-01 00:07:03.5450","2019-01-01 00:52:22.6500",504,"1 Ave & E 16 St",40.73221853,-73.98165557,3709,"W 15 St & 6 Ave",40.738046142482766,-73.99642959237099,21579,"Subscriber",1990,1
303,"2019-01-01 00:07:35.9450","2019-01-01 00:12:39.5020",229,"Great Jones St",40.72743423,-73.99379025,503,"E 20 St & Park Ave",40.73827428,-73.98751968,35379,"Subscriber",1979,1
535,"2019-01-01 00:08:33.1790","2019-01-01 00:17:28.3540",3630,"Frederick Douglass Blvd & W 115 St",40.8038654,-73.9559308,3529,"Lenox Ave & W 130 St",40.8107922,-73.9430681,30315,"Subscriber",1989,2
280,"2019-01-01 00:09:21.0060","2019-01-01 00:14:01.1510",3675,"3 Ave & E 95 St",40.784596798848916,-73.94968539476395,3288,"E 88 St & 1 Ave",40.778301,-73.9488134,35391,"Subscriber",1987,1
1547,"2019-01-01 00:11:22.9070","2019-01-01 00:37:10.0550",285,"Broadway & E 14 St",40.73454567,-73.99074142,3358,"Garfield Pl & 8 Ave",40.6711978,-73.97484126,35551,"Subscriber",1981,1
300,"2019-01-01 00:12:17.9310","2019-01-01 00:17:18.8300",3394,"Columbia St & W 9 St",40.6769993,-74.00647134,3398,"Smith St & 9 St",40.6746957,-73.99785768,18636,"Subscriber",1990,2
123,"2019-01-01 00:12:19.6030","2019-01-01 00:14:23.1040",432,"E 7 St & Avenue A",40.72621788,-73.98379855,3656,"E 2 St & Avenue A",40.72307749068673,-73.98583620786667,35206,"Subscriber",1987,1
932,"2019-01-01 00:14:02.7970","2019-01-01 00:29:35.0450",379,"W 31 St & 7 Ave",40.749156,-73.9916,336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,35148,"Subscriber",1986,1
209,"2019-01-01 00:15:09.9730","2019-01-01 00:18:39.0110",438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,301,"E 2 St & Avenue B",40.72217444,-73.98368779,34416,"Subscriber",1998,2
976,"2019-01-01 00:15:12.8890","2019-01-01 00:31:29.1450",3452,"Bayard St & Leonard St",40.71915571696044,-73.94885390996933,251,"Mott St & Prince St",40.72317958,-73.99480012,35685,"Subscriber",1994,1
97,"2019-01-01 00:15:40.0140","2019-01-01 00:17:17.3120",3430,"Richardson St & N Henry St",40.71907891179564,-73.94223690032959,3095,"Graham Ave & Herbert St",40.71929301,-73.94500379,34307,"Subscriber",1988,1
467,"2019-01-01 00:16:22.9480","2019-01-01 00:24:10.5430",507,"E 25 St & 2 Ave",40.73912601,-73.97973776,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,35561,"Subscriber",1989,1
348,"2019-01-01 00:17:28.9820","2019-01-01 00:23:17.6080",3095,"Graham Ave & Herbert St",40.71929301,-73.94500379,3101,"N 12 St & Bedford Ave",40.72079821,-73.95484712,35695,"Subscriber",1988,1
505,"2019-01-01 00:18:45.1180","2019-01-01 00:27:10.5990",3132,"E 59 St & Madison Ave",40.76350532,-73.97109243,359,"E 47 St & Park Ave",40.75510267,-73.97498696,31801,"Subscriber",1981,1
3494,"2019-01-01 00:18:57.5640","2019-01-01 01:17:11.5700",3171,"Amsterdam Ave & W 82 St",40.78524672,-73.97667321,3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,35785,"Subscriber",1954,1
829,"2019-01-01 00:19:08.1030","2019-01-01 00:32:57.3880",3165,"Central Park West & W 72 St",40.77579376683666,-73.9762057363987,3295,"Central Park W & W 96 St",40.79127,-73.964839,32106,"Subscriber",1969,0
