tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Random_integer,mod10
3494,2019-01-01 00:18:57.5640,2019-01-01 01:17:11.5700,3171.0,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,3164.0,Columbus Ave & W 72 St,40.7770575,-73.97898475,35785,Subscriber,1954,1,75477,7
1145,2019-01-01 00:25:00.0880,2019-01-01 00:44:05.4970,3163.0,Central Park West & W 68 St,40.7734066,-73.97782542,490.0,8 Ave & W 33 St,40.751551,-73.993934,24945,Customer,1969,0,73107,7
607,2019-01-01 00:26:16.4100,2019-01-01 00:36:23.8570,285.0,Broadway & E 14 St,40.73454567,-73.99074142,301.0,E 2 St & Avenue B,40.72217444,-73.98368779,33456,Subscriber,1999,1,45887,7
813,2019-01-01 00:27:12.5070,2019-01-01 00:40:45.5940,3165.0,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,450.0,W 49 St & 8 Ave,40.76227205,-73.98788205,32899,Subscriber,1970,1,77387,7
837,2019-01-01 00:35:00.3960,2019-01-01 00:48:57.7890,3115.0,India St & Manhattan Ave,40.73232194,-73.9550858,3067.0,Broadway & Whipple St,40.7016657,-73.9437303,21528,Subscriber,1989,1,59297,7
2919,2019-01-01 00:42:01.2580,2019-01-01 01:30:40.5560,3285.0,W 87 St & Amsterdam Ave,40.78839,-73.9747,3162.0,W 78 St & Broadway,40.78339981,-73.98093133,18737,Subscriber,1972,1,93767,7
1437,2019-01-01 00:43:32.3160,2019-01-01 01:07:29.5040,3140.0,1 Ave & E 78 St,40.77140426,-73.9535166,3553.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,32496,Customer,1981,2,23557,7
100,2019-01-01 00:45:32.6070,2019-01-01 00:47:12.7270,3286.0,E 89 St & 3 Ave,40.7806284,-73.9521667,3305.0,E 91 St & 2 Ave,40.781122299341654,-73.94965589046478,27766,Subscriber,1999,1,2257,7
282,2019-01-01 00:47:58.6860,2019-01-01 00:52:41.5200,504.0,1 Ave & E 16 St,40.73221853,-73.98165557,487.0,E 20 St & FDR Drive,40.73314259,-73.97573881,17370,Subscriber,1990,1,14227,7
468,2019-01-01 00:49:05.1410,2019-01-01 00:56:53.2090,195.0,Liberty St & Broadway,40.70905623,-74.01043382,195.0,Liberty St & Broadway,40.70905623,-74.01043382,20120,Subscriber,1980,1,30657,7
758,2019-01-01 00:50:34.4020,2019-01-01 01:03:12.4910,3165.0,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,28480,Subscriber,1972,1,55047,7
659,2019-01-01 00:54:17.9090,2019-01-01 01:05:17.8300,3587.0,Carroll St & Washington Ave,40.6686744,-73.9618148,3300.0,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,19245,Subscriber,1973,1,72027,7
721,2019-01-01 00:58:08.5300,2019-01-01 01:10:09.7080,3349.0,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,353.0,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,35662,Subscriber,1985,1,39217,7
1066,2019-01-01 00:58:40.1310,2019-01-01 01:16:26.7430,358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,530.0,11 Ave & W 59 St,40.771496710544405,-73.99046033620834,24894,Subscriber,1971,1,76647,7
781,2019-01-01 01:00:34.8970,2019-01-01 01:13:36.2440,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,411.0,E 6 St & Avenue D,40.72228087,-73.97668709,17965,Customer,1969,0,1737,7
642,2019-01-01 01:01:34.8600,2019-01-01 01:12:17.7070,3341.0,Central Park West & W 102 St,40.795346,-73.96186,3529.0,Lenox Ave & W 130 St,40.8107922,-73.9430681,28933,Subscriber,1992,1,29037,7
97,2019-01-01 01:01:37.7740,2019-01-01 01:03:14.9750,3341.0,Central Park West & W 102 St,40.795346,-73.96186,3323.0,W 106 St & Central Park West,40.798185600000004,-73.96059090060001,33273,Subscriber,1993,1,76837,7
503,2019-01-01 01:03:50.6340,2019-01-01 01:12:14.2920,3323.0,W 106 St & Central Park West,40.798185600000004,-73.96059090060001,3529.0,Lenox Ave & W 130 St,40.8107922,-73.9430681,35704,Subscriber,1993,1,74487,7
262,2019-01-01 01:05:39.4470,2019-01-01 01:10:01.7760,3365.0,3 St & 7 Ave,40.67038370000001,-73.97839676,3663.0,Sterling Pl & 7 Ave,40.67716489469059,-73.97382795810701,32048,Subscriber,1989,2,53567,7
